switch_step,x_star,N,observed,J,noise,pulse_fraction,lag_steps,seed,pre_m,pre_b,pre_coherence,pre_fragmentation,pre_matched_error,pre_lag_error,pre_wrong_error,transition_m,transition_b,transition_coherence,transition_fragmentation,transition_matched_error,transition_lag_error,transition_wrong_error,post_m,post_b,post_coherence,post_fragmentation,post_matched_error,post_lag_error,post_wrong_error,mismatch_count,mismatch_start,mismatch_end,pre_sector,post_sector,phase,case
1442,1.0,64,16,0.2,0.09,0.45,120,13,0.9665173534818607,0.9237783864546116,0.9695652173913043,0.030434782608695653,0.006855301069179106,0.006855301069179106,1.2931949182227467,-0.06339841593458173,-1.4153928953685262,0.125,0.875,0.9779911626064112,0.40599696369721017,0.3220088373935888,0.04198423249627777,-1.170095253773124,0.125,0.875,0.4758859092557058,0.9210825439513962,0.8241140907442943,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,14,0.9664459373721958,0.9231888270775199,0.9695652173913043,0.030434782608695653,0.006874643059703964,0.006874643059703964,1.2933298478950637,-0.06355053697528892,-1.4156327622532914,0.125,0.875,0.9778390073283063,0.40590790368199087,0.32216099267169385,0.041905728697052426,-1.170191193600909,0.125,0.875,0.4758862853940385,0.9210161704925257,0.8241137146059616,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,15,0.9665860989721594,0.9234029741265157,0.9695652173913043,0.030434782608695653,0.00683310597583786,0.00683310597583786,1.2933950580278786,-0.06344483234407809,-1.4154197408513078,0.125,0.875,0.9778942919127104,0.4058636749071388,0.32210570808728967,0.04206522127499906,-1.169928373115622,0.125,0.875,0.475913120144535,0.9211144276954912,0.824086879855465,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,16,0.9666012277359605,0.9237862638402712,0.9695652173913043,0.030434782608695653,0.006866433985005143,0.006866433985005143,1.2932760353918653,-0.06341552293279776,-1.4154658130396969,0.125,0.875,0.9779188014818967,0.4058809203671157,0.32208119851810335,0.04200280223910234,-1.1700482817538804,0.125,0.875,0.47585194111921625,0.9210890677466682,0.8241480588807838,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,17,0.9665353867982505,0.9232954377178553,0.9695652173913043,0.030434782608695653,0.006807303407111411,0.006807303407111411,1.293381983597001,-0.06338474103735971,-1.4155593239086126,0.125,0.875,0.9779926706404138,0.4059339562200061,0.32200732935958615,0.042159520250436094,-1.1700983489505468,0.125,0.875,0.4758800733783673,0.9212826301624247,0.8241199266216327,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,18,0.966569169480462,0.9235431427619393,0.9695652173913043,0.030434782608695653,0.006802805703864126,0.006802805703864126,1.2933290695137833,-0.06343407563431001,-1.4154597162868978,0.125,0.875,0.9779231261116029,0.40590757938295136,0.3220768738883971,0.04197557154266053,-1.1700495253022973,0.125,0.875,0.47595490808641283,0.9210816264661009,0.8240450919135873,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,19,0.9665399387978824,0.9233106756143974,0.9695652173913043,0.030434782608695653,0.0068318278314663085,0.0068318278314663085,1.2933812023328435,-0.06335022925949034,-1.415442383067136,0.125,0.875,0.9779916386665805,0.4058774640338626,0.3220083613334196,0.04201834272858351,-1.1700254787979834,0.125,0.875,0.47598473741296266,0.921123523191196,0.8240152625870374,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,20,0.9664870712991481,0.9236256247737861,0.9695652173913043,0.030434782608695653,0.006853494797313385,0.006853494797313385,1.2932181026283234,-0.06336687730885363,-1.4154115599705224,0.125,0.875,0.9780262060357744,0.4058924074331617,0.32197379396422554,0.042018252844819255,-1.1699372050899561,0.125,0.875,0.4759525851917401,0.921119464998281,0.8240474148082598,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,21,0.9664371716885978,0.923504617319205,0.9695652173913043,0.030434782608695653,0.006842110405342402,0.006842110405342402,1.293210555626876,-0.06338050005921536,-1.4154783356542333,0.125,0.875,0.9779218822719828,0.40590532137215185,0.32207811772801725,0.042106033585421254,-1.170075463305303,0.125,0.875,0.4758921099060751,0.9212318752133527,0.8241078900939249,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
1442,1.0,64,16,0.2,0.09,0.45,120,22,0.9666667453866565,0.9238416725052362,0.9695652173913043,0.030434782608695653,0.0068642615198553185,0.0068642615198553185,1.293322160009824,-0.0633312107182433,-1.4153253205810858,0.125,0.875,0.977986765345941,0.40584669604707607,0.3220132346540592,0.04198490518417204,-1.1698972198040114,0.125,0.875,0.4759593441285822,0.9210457490560726,0.8240406558714178,240,1442,1823,1,-1,fragmented_switch,fragmented_switch
