t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
620.0,0.9998210676637669,0.999877661297661,1.0,1.0,0.0,0.9999571814541813,-0.3000428185458187,0.9999571814541813,0.00013611379041444938,1.2998638862095855,0.00013611379041444938
621.0,0.9997744196558828,0.9998079814961973,1.0,1.0,0.0,0.999932793523669,-0.300067206476331,0.999932793523669,0.0001583738677862767,1.2998416261322139,0.0001583738677862767
622.0,0.9998198227780373,1.0000574883398765,1.0,1.0,0.0,1.0000201209189568,-0.2999798790810433,1.0000201209189568,0.00020029814091948595,1.2997997018590806,0.00020029814091948595
623.0,0.9997934327527571,0.9999630346172728,1.0,1.0,0.0,0.9999870621160455,-0.30001293788395456,0.9999870621160455,0.00019362936328837232,1.2998063706367118,0.00019362936328837232
624.0,0.9997676709071339,0.9996556376287091,1.0,1.0,0.0,0.9998794731700482,-0.30012052682995183,0.9998794731700482,0.00011180226291429562,1.2998881977370857,0.00011180226291429562
625.0,0.9999468652205606,0.9999428097033127,1.0,1.0,0.0,0.9999799833961595,-0.3000200166038406,0.9999799833961595,3.3118175598811916e-05,1.2999668818244012,3.3118175598811916e-05
626.0,1.000004968467559,0.9999635982509087,1.0,1.0,0.0,0.9999872593878181,-0.30001274061218197,0.9999872593878181,1.7709079740857447e-05,1.300017709079741,1.7709079740857447e-05
627.0,1.0001451499977416,1.000065259664953,1.0,1.0,0.0,1.0000228408827336,-0.2999771591172665,1.0000228408827336,0.00012230911500799024,1.3001223091150083,0.00012230911500799024
628.0,1.0000972614445485,1.0001424774878669,1.0,1.0,0.0,1.0000498671207534,-0.29995013287924666,1.0000498671207534,4.739432379508024e-05,1.3000473943237951,4.739432379508024e-05
629.0,1.000147818823781,1.0003373485371272,1.0,1.0,0.0,1.0001180719879945,-0.2998819280120055,1.0001180719879945,2.974683578638171e-05,1.3000297468357864,2.974683578638171e-05
630.0,0.999984964847674,1.0001872670381746,1.0,1.0,0.0,1.0000655434633612,-0.29993445653663897,1.0000655434633612,8.057861568722124e-05,1.2999194213843128,8.057861568722124e-05
631.0,0.9999945292001022,1.000114764775141,1.0,1.0,0.0,1.0000401676712993,-0.2999598323287007,1.0000401676712993,4.5638471197095853e-05,1.299954361528803,4.5638471197095853e-05
632.0,0.9997722186991566,0.9997945967467665,1.0,1.0,0.0,0.9999281088613683,-0.30007189113863175,0.9999281088613683,0.0001558901622117359,1.2998441098377884,0.0001558901622117359
633.0,0.9995792047372315,0.9998244458041179,1.0,1.0,0.0,0.9999385560314412,-0.3000614439685588,0.9999385560314412,0.0003593512942097199,1.2996406487057903,0.0003593512942097199
634.0,0.9995200163517798,0.9996936148179453,1.0,1.0,0.0,0.9998927651862809,-0.30010723481371926,0.9998927651862809,0.0003727488345011132,1.2996272511654992,0.0003727488345011132
635.0,0.9995594902162561,0.9995847274669936,1.0,1.0,0.0,0.9998546546134477,-0.30014534538655224,0.9998546546134477,0.00029516439719157184,1.2997048356028085,0.00029516439719157184
636.0,0.9996164443301194,0.9993946019724164,1.0,1.0,0.0,0.9997881106903457,-0.30021188930965426,0.9997881106903457,0.00017166636022625248,1.2998283336397738,0.00017166636022625248
